session_id,user_id,timestamp,touch_drift,response_latency,decision_speed,mistakes,completion_rate,session_duration,game_type,data_note
U001_S001,U001,2026-07-01 00:00:00,19.55,1135.08,3.29,4,0.8731,629.8,color_sort,SYNTHETIC — NOT clinical data
U001_S002,U001,2026-07-03 00:00:00,22.26,1260.86,3.69,6,0.8917,660.63,memory_match,SYNTHETIC — NOT clinical data
U001_S003,U001,2026-07-05 00:00:00,21.45,1081.97,2.73,4,0.8519,496.5,memory_match,SYNTHETIC — NOT clinical data
U001_S004,U001,2026-07-07 00:00:00,22.83,1033.93,3.11,4,0.8225,689.22,color_sort,SYNTHETIC — NOT clinical data
U001_S005,U001,2026-07-09 00:00:00,19.38,1055.0,3.06,4,0.959,656.93,pattern_recall,SYNTHETIC — NOT clinical data
U001_S006,U001,2026-07-11 00:00:00,23.94,989.0,2.69,3,0.8909,691.45,pattern_recall,SYNTHETIC — NOT clinical data
U001_S007,U001,2026-07-13 00:00:00,22.71,1057.64,2.98,2,0.9335,740.44,color_sort,SYNTHETIC — NOT clinical data
U001_S008,U001,2026-07-15 00:00:00,24.05,1007.69,3.1,4,0.9315,636.7,color_sort,SYNTHETIC — NOT clinical data
U001_S009,U001,2026-07-17 00:00:00,25.23,976.37,3.5,2,0.9382,589.91,pattern_recall,SYNTHETIC — NOT clinical data
U001_S010,U001,2026-07-19 00:00:00,21.83,1207.03,3.45,4,0.8281,703.59,pattern_recall,SYNTHETIC — NOT clinical data
U001_S011,U001,2026-07-21 00:00:00,20.65,1136.62,2.76,4,0.8378,553.22,color_sort,SYNTHETIC — NOT clinical data
U001_S012,U001,2026-07-23 00:00:00,23.28,1132.74,2.87,2,0.9697,583.15,color_sort,SYNTHETIC — NOT clinical data
U002_S001,U002,2026-07-01 00:00:00,37.11,2050.17,5.15,8,0.7572,543.17,pattern_recall,SYNTHETIC — NOT clinical data
U002_S002,U002,2026-07-03 00:00:00,35.09,1441.49,4.22,7,0.7071,622.64,pattern_recall,SYNTHETIC — NOT clinical data
U002_S003,U002,2026-07-05 00:00:00,30.2,1482.11,4.52,9,0.7373,408.83,memory_match,SYNTHETIC — NOT clinical data
U002_S004,U002,2026-07-07 00:00:00,29.65,1713.11,3.86,7,0.7192,629.09,color_sort,SYNTHETIC — NOT clinical data
U002_S005,U002,2026-07-09 00:00:00,27.78,1541.25,4.18,4,0.6704,522.78,memory_match,SYNTHETIC — NOT clinical data
U002_S006,U002,2026-07-11 00:00:00,30.91,1762.67,4.62,5,0.5951,582.62,color_sort,SYNTHETIC — NOT clinical data
U002_S007,U002,2026-07-13 00:00:00,24.37,1354.36,4.07,7,0.7587,544.18,memory_match,SYNTHETIC — NOT clinical data
U002_S008,U002,2026-07-15 00:00:00,23.93,1076.8,3.34,5,0.7595,639.13,pattern_recall,SYNTHETIC — NOT clinical data
U002_S009,U002,2026-07-17 00:00:00,18.68,1375.75,3.12,5,0.7234,488.35,color_sort,SYNTHETIC — NOT clinical data
U002_S010,U002,2026-07-19 00:00:00,18.04,1081.69,3.4,3,0.6887,576.81,memory_match,SYNTHETIC — NOT clinical data
U003_S001,U003,2026-07-01 00:00:00,20.52,1078.18,2.63,4,0.8897,580.53,color_sort,SYNTHETIC — NOT clinical data
U003_S002,U003,2026-07-03 00:00:00,21.9,1091.07,2.94,4,0.866,520.77,memory_match,SYNTHETIC — NOT clinical data
U003_S003,U003,2026-07-05 00:00:00,20.08,1193.53,3.01,2,0.8453,540.88,memory_match,SYNTHETIC — NOT clinical data
U003_S004,U003,2026-07-07 00:00:00,26.48,1077.62,3.55,4,0.9212,647.23,color_sort,SYNTHETIC — NOT clinical data
U003_S005,U003,2026-07-09 00:00:00,26.31,1342.57,3.66,5,0.936,520.89,color_sort,SYNTHETIC — NOT clinical data
U003_S006,U003,2026-07-11 00:00:00,22.76,1492.38,3.98,2,0.8998,687.21,memory_match,SYNTHETIC — NOT clinical data
U003_S007,U003,2026-07-13 00:00:00,28.05,1460.69,3.81,6,0.9095,599.31,memory_match,SYNTHETIC — NOT clinical data
U003_S008,U003,2026-07-15 00:00:00,26.09,1444.59,4.32,2,0.9107,646.62,pattern_recall,SYNTHETIC — NOT clinical data
U003_S009,U003,2026-07-17 00:00:00,32.32,1563.0,4.79,3,0.8596,613.86,color_sort,SYNTHETIC — NOT clinical data
U003_S010,U003,2026-07-19 00:00:00,34.27,1619.32,6.21,7,0.9258,663.23,memory_match,SYNTHETIC — NOT clinical data
U003_S011,U003,2026-07-21 00:00:00,31.37,1562.11,4.42,5,0.8936,566.64,memory_match,SYNTHETIC — NOT clinical data
U004_S001,U004,2026-07-01 00:00:00,25.66,1946.13,4.13,5,0.7553,612.28,memory_match,SYNTHETIC — NOT clinical data
U004_S002,U004,2026-07-03 00:00:00,22.92,1538.14,2.72,7,0.7924,781.56,pattern_recall,SYNTHETIC — NOT clinical data
U004_S003,U004,2026-07-05 00:00:00,23.84,847.19,3.73,5,0.8891,301.41,pattern_recall,SYNTHETIC — NOT clinical data
U004_S004,U004,2026-07-07 00:00:00,44.46,1728.34,2.56,8,0.8633,741.81,color_sort,SYNTHETIC — NOT clinical data
U004_S005,U004,2026-07-09 00:00:00,33.81,1200.77,1.98,8,0.835,527.36,memory_match,SYNTHETIC — NOT clinical data
U004_S006,U004,2026-07-11 00:00:00,28.79,1198.36,4.26,8,0.7285,844.86,memory_match,SYNTHETIC — NOT clinical data
U004_S007,U004,2026-07-13 00:00:00,30.56,1565.51,4.37,8,0.7899,952.2,pattern_recall,SYNTHETIC — NOT clinical data
U004_S008,U004,2026-07-15 00:00:00,33.85,1719.04,4.82,8,0.8102,444.84,color_sort,SYNTHETIC — NOT clinical data
U004_S009,U004,2026-07-17 00:00:00,21.04,1366.67,3.86,7,0.7727,759.1,color_sort,SYNTHETIC — NOT clinical data
U005_S001,U005,2026-07-01 00:00:00,27.76,1436.01,5.01,6,0.7553,585.02,memory_match,SYNTHETIC — NOT clinical data
U005_S002,U005,2026-07-03 00:00:00,27.44,1178.22,3.84,8,0.8076,704.58,color_sort,SYNTHETIC — NOT clinical data
