session_id,user_id,timestamp,game_type,touch_drift,response_latency,decision_speed,mistakes,mistake_rate,completion_rate,session_duration,engagement_score,behavioral_score,indicator,trend,baseline_available,score_method,top_factors
U001_S001,U001,2026-07-01,color_sort,19.55,1135.08,3.29,4,0.0209,0.8731,629.8,0.5775,0.4371,[No baseline — raw score] Behavioral pattern within expected range,Stable,False,raw_normalized,decision speed (normalized value: 0.60) | response latency (normalized value: 0.56) | engagement / completion (normalized value: 0.53)
U001_S002,U001,2026-07-03,memory_match,22.26,1260.86,3.69,6,0.0335,0.8917,660.63,0.6187,0.8414,[No baseline — raw score] Notable behavioral change detected,Stable,False,raw_normalized,response latency (normalized value: 1.00) | decision speed (normalized value: 1.00) | mistake rate (normalized value: 1.00)
U001_S003,U001,2026-07-05,memory_match,21.45,1081.97,2.73,4,0.022,0.8519,496.5,0.4442,0.281,[No baseline — raw score] Behavioral pattern within expected range,Stable,False,raw_normalized,engagement / completion (normalized value: 1.00) | mistake rate (normalized value: 0.55) | response latency (normalized value: 0.37)
U001_S004,U001,2026-07-07,color_sort,22.83,1033.93,3.11,4,0.018,0.8225,689.22,0.5953,0.3891,Behavioral pattern within expected range,Stable,True,baseline_delta,mistake rate decreased by 29.3% vs personal baseline | response latency decreased by 10.8% vs personal baseline | engagement / completion improved by 8.9% vs personal baseline
U001_S005,U001,2026-07-09,pattern_recall,19.38,1055.0,3.06,4,0.0186,0.959,656.93,0.6616,0.36,Behavioral pattern within expected range,Stable,True,baseline_delta,mistake rate decreased by 21.2% vs personal baseline | engagement / completion improved by 18.4% vs personal baseline | touch drift decreased by 9.9% vs personal baseline
U001_S006,U001,2026-07-11,pattern_recall,23.94,989.0,2.69,3,0.0117,0.8909,691.45,0.6469,0.3258,Behavioral pattern within expected range,Stable,True,baseline_delta,mistake rate decreased by 48.2% vs personal baseline | decision speed decreased by 15.3% vs personal baseline | touch drift increased by 13.5% vs personal baseline
U001_S007,U001,2026-07-13,color_sort,22.71,1057.64,2.98,2,0.0081,0.9335,740.44,0.7259,0.3087,Behavioral pattern within expected range,Stable,True,baseline_delta,mistake rate decreased by 61.0% vs personal baseline | engagement / completion improved by 22.9% vs personal baseline | touch drift increased by 5.3% vs personal baseline
U001_S008,U001,2026-07-15,color_sort,24.05,1007.69,3.1,4,0.0195,0.9315,636.7,0.6229,0.5085,Moderate behavioral variation detected,Stable,True,baseline_delta,touch drift increased by 10.7% vs personal baseline | response latency decreased by 7.3% vs personal baseline | mistake rate increased by 2.8% vs personal baseline
U001_S009,U001,2026-07-17,pattern_recall,25.23,976.37,3.5,2,0.0118,0.9382,589.91,0.5812,0.4554,Moderate behavioral variation detected,Stable,True,baseline_delta,mistake rate decreased by 38.0% vs personal baseline | touch drift increased by 14.6% vs personal baseline | decision speed increased by 13.6% vs personal baseline
U001_S010,U001,2026-07-19,pattern_recall,21.83,1207.03,3.45,4,0.0196,0.8281,703.59,0.6119,0.5778,Moderate behavioral variation detected,Stable,True,baseline_delta,response latency increased by 13.2% vs personal baseline | decision speed increased by 10.3% vs personal baseline | mistake rate increased by 7.5% vs personal baseline
U001_S011,U001,2026-07-21,color_sort,20.65,1136.62,2.76,4,0.02,0.8378,553.22,0.4868,0.5255,Moderate behavioral variation detected,Stable,True,baseline_delta,engagement / completion declined by 20.0% vs personal baseline | decision speed decreased by 12.7% vs personal baseline | mistake rate increased by 8.9% vs personal baseline
U001_S012,U001,2026-07-23,color_sort,23.28,1132.74,2.87,2,0.0099,0.9697,583.15,0.5939,0.3923,Behavioral pattern within expected range,Stable,True,baseline_delta,mistake rate decreased by 46.5% vs personal baseline | decision speed decreased by 8.1% vs personal baseline | touch drift increased by 5.0% vs personal baseline
U002_S001,U002,2026-07-01,pattern_recall,37.11,2050.17,5.15,8,0.0762,0.7572,543.17,0.4319,0.8818,[No baseline — raw score] Notable behavioral change detected,Improving,False,raw_normalized,touch drift (normalized value: 1.00) | response latency (normalized value: 1.00) | decision speed (normalized value: 1.00)
U002_S002,U002,2026-07-03,pattern_recall,35.09,1441.49,4.22,7,0.0473,0.7071,622.64,0.4624,0.5662,[No baseline — raw score] Moderate behavioral variation detected,Improving,False,raw_normalized,touch drift (normalized value: 0.89) | decision speed (normalized value: 0.54) | response latency (normalized value: 0.37)
U002_S003,U002,2026-07-05,memory_match,30.2,1482.11,4.52,9,0.1,0.7373,408.83,0.3166,0.5696,[No baseline — raw score] Moderate behavioral variation detected,Improving,False,raw_normalized,mistake rate (normalized value: 1.00) | engagement / completion (normalized value: 1.00) | decision speed (normalized value: 0.69)
U002_S004,U002,2026-07-07,color_sort,29.65,1713.11,3.86,7,0.0429,0.7192,629.09,0.4752,0.3072,Behavioral pattern within expected range,Improving,True,baseline_delta,mistake rate decreased by 42.4% vs personal baseline | engagement / completion improved by 17.7% vs personal baseline | decision speed decreased by 16.6% vs personal baseline
U002_S005,U002,2026-07-09,memory_match,27.78,1541.25,4.18,4,0.032,0.6704,522.78,0.3681,0.3233,Behavioral pattern within expected range,Improving,True,baseline_delta,mistake rate decreased by 52.0% vs personal baseline | touch drift decreased by 15.8% vs personal baseline | engagement / completion declined by 12.7% vs personal baseline
U002_S006,U002,2026-07-11,color_sort,30.91,1762.67,4.62,5,0.0397,0.5951,582.62,0.3641,0.465,Moderate behavioral variation detected,Improving,True,baseline_delta,mistake rate decreased by 33.5% vs personal baseline | engagement / completion declined by 11.4% vs personal baseline | response latency increased by 7.1% vs personal baseline
U002_S007,U002,2026-07-13,memory_match,24.37,1354.36,4.07,7,0.0522,0.7587,544.18,0.4336,0.3369,Behavioral pattern within expected range,Improving,True,baseline_delta,touch drift decreased by 23.3% vs personal baseline | response latency decreased by 18.7% vs personal baseline | decision speed decreased by 8.0% vs personal baseline
U002_S008,U002,2026-07-15,pattern_recall,23.93,1076.8,3.34,5,0.0262,0.7595,639.13,0.5098,0.1686,Behavioral pattern within expected range,Improving,True,baseline_delta,mistake rate decreased by 53.0% vs personal baseline | response latency decreased by 33.6% vs personal baseline | engagement / completion improved by 25.1% vs personal baseline
U002_S009,U002,2026-07-17,color_sort,18.68,1375.75,3.12,5,0.0318,0.7234,488.35,0.371,0.2528,Behavioral pattern within expected range,Improving,True,baseline_delta,mistake rate decreased by 38.9% vs personal baseline | touch drift decreased by 37.5% vs personal baseline | decision speed decreased by 26.5% vs personal baseline
U002_S010,U002,2026-07-19,memory_match,18.04,1081.69,3.4,3,0.0176,0.6887,576.81,0.4172,0.1731,Behavioral pattern within expected range,Improving,True,baseline_delta,mistake rate decreased by 64.7% vs personal baseline | touch drift decreased by 37.0% vs personal baseline | response latency decreased by 29.4% vs personal baseline
